2026-08-22 16:52:59,388 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:53:00,513 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-22 16:53:00,642 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-22 16:53:00,793 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:53:10,795 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:53:15,990 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 16:53:15,990 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:53:16,107 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.02s
2026-08-22 16:53:16,107 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:53:19,047 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 16:53:19,048 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:53:20,797 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:53:30,799 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:53:31,358 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.02s
2026-08-22 16:53:31,359 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:53:40,800 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:53:48,771 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 16:53:48,772 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:53:48,898 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
2026-08-22 16:53:48,898 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:53:50,804 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:53:51,918 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 16:53:51,919 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:54:00,805 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 16:54:04,194 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.00s
2026-08-22 16:54:04,196 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:54:10,202 | INFO     | eva.user_simulator.elevenlabs:463 | Keep-alive task cancelled
2026-08-22 16:54:10,208 | INFO     | eva.user_simulator.base:182 | Saved clean user audio to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_165023/records/EMI-BENCH-0012/audio_user_clean.wav
2026-08-22 16:54:10,209 | INFO     | eva.user_simulator.elevenlabs:296 | Waiting 4s for assistant STT to finish last utterance...
2026-08-22 16:54:10,311 | ERROR    | eva.user_simulator.audio_bridge:654 | Error receiving from assistant: no close frame received or sent
Traceback (most recent call last):
  File "/Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/src/eva/user_simulator/audio_bridge.py", line 604, in _receive_from_assistant
    async for message in self.websocket:
  File "/Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/.venv/lib/python3.11/site-packages/websockets/asyncio/connection.py", line 242, in __aiter__
    yield await self.recv()
          ^^^^^^^^^^^^^^^^^
  File "/Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/.venv/lib/python3.11/site-packages/websockets/asyncio/connection.py", line 322, in recv
    raise self.protocol.close_exc from self.recv_exc
websockets.exceptions.ConnectionClosedError: no close frame received or sent
2026-08-22 16:54:10,321 | INFO     | eva.user_simulator.audio_bridge:663 | 🔊 Assistant audio END (connection closed)
2026-08-22 16:54:10,322 | WARNING  | eva.user_simulator.audio_bridge:670 | ⚠️ WebSocket closed during active conversation - signaling disconnect
2026-08-22 16:54:10,322 | INFO     | eva.user_simulator.base:145 | Conversation end signaled: elevenlabs_disconnect
2026-08-22 16:54:14,210 | INFO     | eva.user_simulator.audio_bridge:244 | Audio interface stopped
2026-08-22 16:54:14,213 | INFO     | eva.user_simulator.event_logger:182 | Saved 43 user simulator events to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_165023/records/EMI-BENCH-0012/user_simulator_events.jsonl
2026-08-22 16:54:14,213 | WARNING  | eva.orchestrator.worker:176 | Conversation EMI-BENCH-0012 exceeded time limit
2026-08-22 16:54:14,333 | WARNING  | eva.assistant.base_server:270 | Audio buffer length mismatch: user=6522392 assistant=6618472 diff=3002ms — mixed recording may be temporally skewed
2026-08-22 16:54:42,194 | INFO     | eva.assistant.agentic.audit_log:411 | Audit log saved to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_165023/records/EMI-BENCH-0012/audit_log.json
2026-08-22 16:54:42,195 | INFO     | eva.assistant.base_server:319 | Saved scenario database states to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_165023/records/EMI-BENCH-0012
2026-08-22 16:54:42,195 | INFO     | eva.assistant.base_server:241 | Outputs saved to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_live/emi_eva_live_20260822_165023/records/EMI-BENCH-0012
2026-08-22 16:54:42,196 | INFO     | eva.orchestrator.worker:234 | Computed scenario DB hashes - Initial: 172aa7cb..., Final: 4c2cfa4c...
